"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","plot_number","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_b","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","heat_necrosis","brown_center","black_spot_bruise","black_spot_bruise_per_tuber","plant_vigor","disease_reaction","date_processed_otf","sfa_chip_color_otf","stem_end_browning_otf","date_processed_3mo","sfa_chip_color_3mo","stem_end_browning_3mo","date_processed_6mo","sfa_chip_color_6mo","stem_end_browning_6mo","process_comments","fry_color","total_glycoalkaloids","after_cooking_darkening","color_scale","color_instrument"
"2021","NCPT","FL","2021 NCPT FL","MSBB079-2","","135","1","1","","","","","2021-02-01","2021-05-11","","2","","","15","1.076","7","1","1","7","","","","","431","","","","","","","","0.1","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB079-2","","135","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB079-2","","135","2","1","","","","","2021-02-01","2021-05-11","","3","","","8.7","1.057","7","1","1","8","","","","","252","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB222-1","","136","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB222-1","","136","1","1","","","","","2021-02-01","2021-05-11","","1","","","12.2","1.084","7","1","2","8","","","","","350","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB222-1","","136","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB222-1","","136","2","1","","","","","2021-02-01","2021-05-11","","2","","","14.1","1.053","7","1","1","7","","","","","407","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB230-2","","137","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB230-2","","137","1","1","","","","","2021-02-01","2021-05-11","","1","","","12.5","1.075","9","1","1","7","","","","","360","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB230-2","","137","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB230-2","","137","2","1","","","","","2021-02-01","2021-05-11","","1","","","16.1","1.083","8","1","2","8","","","","","463","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB610-13","","138","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB610-13","","138","1","1","","","","","2021-02-01","2021-05-11","","2","","","10.2","1.077","7","1","1","8","","","","","294","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB610-13","","138","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB610-13","","138","2","1","","","","","2021-02-01","2021-05-11","","3","","","8.1","1.071","7","1","1","7","","","","","233","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB617-2","","139","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB617-2","","139","1","1","","","","","2021-02-01","2021-05-11","","1","","","11.3","1.081","8","1","1","7","","","","","324","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB617-2","","139","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1.5","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSBB617-2","","139","2","1","","","","","2021-02-01","2021-05-11","","1","","","12.6","1.084","8","1","1","7","","","","","364","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC168-1","","140","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC168-1","","140","1","1","","","","","2021-02-01","2021-05-11","","1","","","10.3","1.067","7","1","2","7","","","","","295","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC168-1","","140","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","1","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC168-1","","140","2","1","","","","","2021-02-01","2021-05-11","","2","","","9.7","1.078","7","1","1","9","","","","","278","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC248-2","","141","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC248-2","","141","1","1","","","","","2021-02-01","2021-05-11","","2","","","11.9","1.081","7","1","2","7","","","","","343","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC248-2","","141","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","MSCC248-2","","141","2","1","","","","","2021-02-01","2021-05-11","","1","","","12.4","1.066","9","1","2","7","","","","","358","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR1-7","","142","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR1-7","","142","1","1","","","","","2021-02-01","2021-05-11","","2","","","11.8","1.087","8","1","2","7","","","","","338","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR1-7","","142","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR1-7","","142","2","1","","","","","2021-02-01","2021-05-11","","1","","","11.2","1.076","8","1","2","7","","","","","323","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR3-5","","143","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR3-5","","143","1","1","","","","","2021-02-01","2021-05-11","","1","","","15.4","1.084","9","1","2","6","","","","","444","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR3-5","","143","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR3-5","","143","2","1","","","","","2021-02-01","2021-05-11","","1","","","18.2","1.085","8","1","2","6","","","","","523","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR101-2","","144","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR101-2","","144","1","1","","","","","2021-02-01","2021-05-11","","1","","","14.4","1.078","8","1","2","7","","","","","414","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR101-2","","144","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR101-2","","144","2","1","","","","","2021-02-01","2021-05-11","","1","","","13.9","1.057","8","1","1","7","","","","","399","","","","","","","","","","","","4","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR102-3","","145","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR102-3","","145","1","1","","","","","2021-02-01","2021-05-11","","1","","","13.4","1.085","9","1","2","7","","","","","385","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR102-3","","145","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR102-3","","145","2","1","","","","","2021-02-01","2021-05-11","","1","","","13.8","1.06","8","1","2","6","","","","","397","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-4","","146","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-4","","146","1","1","","","","","2021-02-01","2021-05-11","","2","","","10.7","1.088","6","1","2","7","","","","","309","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-4","","146","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-4","","146","2","1","","","","","2021-02-01","2021-05-11","","1","","","12","1.08","8","1","1","8","","","","","346","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NY177","","147","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NY177","","147","1","1","","","","","2021-02-01","2021-05-11","","2","","","12.9","1.064","7","1","2","8","","","","","371","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NY177","","147","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NY177","","147","2","1","","","","","2021-02-01","2021-05-11","","3","","","7.5","1.092","8","1","2","8","","","","","216","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-11","","148","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","Bruise","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-11","","148","1","1","","","","","2021-02-01","2021-05-11","","1","","","14.7","1.077","7","1","2","8","","","","","423","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-11","","148","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYR107-11","","148","2","1","","","","","2021-02-01","2021-05-11","","1","","","15.5","1.079","7","1","2","8","","","","","445","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","AOR13124-6","","149","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","AOR13124-6","","149","1","1","","","","","2021-02-01","2021-05-11","","3","","","6.9","1.085","9","1","1","7","","","","","198","","","","","","0.1","","","0.1","","","4","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","AOR13124-6","","149","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","BC","","","","",""
"2021","NCPT","FL","2021 NCPT FL","AOR13124-6","","149","2","1","","","","","2021-02-01","2021-05-11","","1","","","19.6","1.078","9","1","1","7","","","","","565","","","","","","","","","","","","4","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","COOR13270-2","","150","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","COOR13270-2","","150","1","1","","","","","2021-02-01","2021-05-11","","2","","","9.5","1.077","7","1","1","7","","","","","275","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","COOR13270-2","","150","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","COOR13270-2","","150","2","1","","","","","2021-02-01","2021-05-11","","2","","","8.8","1.072","8","1","2","6","","","","","252","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDOR13320CAB-2","","151","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDOR13320CAB-2","","151","1","1","","","","","2021-02-01","2021-05-11","","1","","","12.5","1.091","7","1","1","9","","","","","359","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDOR13320CAB-2","","151","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDOR13320CAB-2","","151","2","1","","","","","2021-02-01","2021-05-11","","2","","","8.4","1.075","7","1","1","7","","","","","242","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYORN41-5","","152","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYORN41-5","","152","1","1","","","","","2021-02-01","2021-05-11","","2","","","8.3","1.088","8","1","1","7","","","","","239","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYORN41-5","","152","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NYORN41-5","","152","2","1","","","","","2021-02-01","2021-05-11","","3","","","4.4","1.08","8","1","1","7","","","","","126","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","OR16E.R.2.1435","","153","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","2","1","","","","","","","VD","","","","",""
"2021","NCPT","FL","2021 NCPT FL","OR16E.R.2.1435","","153","1","1","","","","","2021-02-01","2021-05-11","","1","","","13.1","1.08","9","1","2","7","","","","","378","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","OR16E.R.2.1435","","153","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","OR16E.R.2.1435","","153","2","1","","","","","2021-02-01","2021-05-11","","1","","","14.1","1.06","8","1","1","6","","","","","407","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","ATX13134-3W/Y","","154","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","ATX13134-3W/Y","","154","1","1","","","","","2021-02-01","2021-05-11","","2","","","11.6","1.088","7","2","2","7","","","","","335","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","ATX13134-3W/Y","","154","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","ATX13134-3W/Y","","154","2","1","","","","","2021-02-01","2021-05-11","","3","","","8.5","1.071","7","2","1","7","","","","","245","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDTX1482YB-1W","","155","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDTX1482YB-1W","","155","1","1","","","","","2021-02-01","2021-05-11","","3","","","7.3","1.084","7","1","2","9","","","","","210","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDTX1482YB-1W","","155","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","BC","","","","",""
"2021","NCPT","FL","2021 NCPT FL","NDTX1482YB-1W","","155","2","1","","","","","2021-02-01","2021-05-11","","3","","","6.4","1.076","7","1","2","8","","","","","184","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","TX12484-3WZC","","156","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","TX12484-3WZC","","156","1","1","","","","","2021-02-01","2021-05-11","","2","","","9","1.074","7","1","2","8","","","","","258","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","TX12484-3WZC","","156","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","TX12484-3WZC","","156","2","1","","","","","2021-02-01","2021-05-11","","2","","","11.8","","7","1","2","7","","","","","338","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ4-1","","157","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ4-1","","157","1","1","","","","","2021-02-01","2021-05-11","","1","","","12.3","1.082","7","1","2","8","","","","","353","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ4-1","","157","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ4-1","","157","2","1","","","","","2021-02-01","2021-05-11","","2","","","12.4","1.069","7","1","2","8","","","","","356","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ9-2","","158","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ9-2","","158","1","1","","","","","2021-02-01","2021-05-11","","1","","","13.9","1.079","8","1","2","8","","","","","401","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ9-2","","158","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W14NYQ9-2","","158","2","1","","","","","2021-02-01","2021-05-11","","1","","","13.1","1.054","7","1","2","9","","","","","378","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-8","","159","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-8","","159","1","1","","","","","2021-02-01","2021-05-11","","2","","","11.3","1.079","7","1","2","8","","","","","325","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-8","","159","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-8","","159","2","1","","","","","2021-02-01","2021-05-11","","3","","","9.2","1.064","8","1","2","7","","","","","265","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-13","","160","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","1","","","","","","","BC","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-13","","160","1","1","","","","","2021-02-01","2021-05-11","","1","","","12.8","1.072","6","1","2","7","","","","","367","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-13","","160","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15NYR11-13","","160","2","1","","","","","2021-02-01","2021-05-11","","2","","","12.3","1.065","8","1","2","8","","","","","353","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15125-4","","161","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15125-4","","161","1","1","","","","","2021-02-01","2021-05-11","","1","","","16.8","1.08","8","1","2","8","","","","","483","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15125-4","","161","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15125-4","","161","2","1","","","","","2021-02-01","2021-05-11","","4","","","6.8","1.057","7","1","1","7","","","","","195","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15200-3","","162","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15200-3","","162","1","1","","","","","2021-02-01","2021-05-11","","2","","","11.5","1.088","7","1","1","7","","","","","331","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15200-3","","162","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-05-18","1","0","","","","","","","","","","","",""
"2021","NCPT","FL","2021 NCPT FL","W15200-3","","162","2","1","","","","","2021-02-01","2021-05-11","","2","","","8.4","1.082","7","1","1","7","","","","","242","","","","","","","","","","","","6","","","","","","","","","","","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","A13125-3C","","1","1","1","","","","","2021-05-05","2021-09-09","","3","","Sl. Pitted scab ","16.1","1.082","4","1","2","6","","","","377","419","0.9","0.09","0.9","0","0.01","0.6","0","0","0","","","","","","","","2022-01-17","2","3","2022-04-09","1","2","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","A16150-1C","","2","1","1","","","","","2021-05-05","2021-09-09","","3","","Small, some pitted scab ","10.2","1.082","2","1","2","6","","","","221","267","0.83","0.17","0.83","0","0","0.1","0.1","0","0","","","","","","","","2022-01-17","1.5","3","2022-04-09","1","2","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","A16153-2C","","3","1","1","","","","","2021-05-05","2021-09-09","","4","","Sev. Pitted Scab ","13.8","1.073","3","1","2","6","","","","277","358","0.77","0.22","0.77","0","0.01","0.1","0","0","0","","","","","","","","2022-01-17","1","1","2022-04-09","1","0","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AC11494-6W","","4","1","1","","","","","2021-05-05","2021-09-09","","3","","Sev Pitted scab ","13.3","1.077","2","1","2","6","","","","271","346","0.78","0.22","0.78","0","0","0","0.1","0.1","0","","","","","","","","2022-01-17","","","2022-04-09","","","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AC11494-6W","","4","2","1","","","","","2021-05-05","2021-09-09","","2","","Some pitted scab ","16.5","1.082","2","1","2","5","","","","370","429","0.86","0.14","0.86","0","0","0","0","0","0","","","","","","","","2022-01-17","1","1","2022-04-09","1","1","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AC13126-1Wadg","","5","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","11","1.085","3","1","2","6","","","","257","285","0.9","0.1","0.9","0","0","0.1","0","0","0","","","","","","","","2022-01-17","3","3","2022-04-09","2.5","2","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF5973-3","","6","1","1","","","","","2021-05-05","2021-09-09","","4",""," ","6.5","1.09","2","1","2","7","","","","129","170","0.76","0.24","0.76","0","0","0","0.1","0","0","","","","","","","","2022-01-17","1.5","3","2022-04-09","","","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6200-4","","7","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","15.5","1.081","3","1","2","6","","","","389","403","0.97","0.03","0.97","0","0","0","0","0","0","","","","","","","","2022-01-17","","","2022-04-09","","","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6200-4","","7","2","1","","","","","2021-05-05","2021-09-09","","2","","Pitted scab ","17.4","1.087","2","1","2","6","","","","414","452","0.92","0.04","0.92","0","0.04","0","0","0","0","","","","","","","","2022-01-17","3","1","2022-04-09","1","1","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6200-7","","8","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","14.8","1.097","3","1","2","7","","","","347","385","0.9","0.1","0.9","0","0","0","0.1","0","0","","","","","","","","2022-01-17","1.5","2","2022-04-09","1.5","2","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6206-3","","9","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","15.4","1.083","3","1","3","6","","","","375","402","0.93","0.07","0.93","0","0","0.1","0","0","0","","","","","","","","2022-01-17","2","3","2022-04-09","1","5","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6206-5","","10","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","16.3","1.088","3","1","2","6","","","","403","423","0.95","0.04","0.95","0","0.01","0","0","0","0","","","","","","","","2022-01-17","1.5","1","2022-04-09","1","1","","","","","",""
"2021","NCPT","MI","2021 NCPT MI","AF6526-3","","11","1","1","","","","","2021-05-05","2021-09-09","","2",""," ","14.7","1.089","2","1","2","6","","","","312","383","0.82","0.17","0.82","0","0.01","0","0","0.1","0","","","","","","","","2022-01-17","2","2","2022-04-09","1","0","","","","","",""
