"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"2013","NFPT","WI","2013 NFPT WI","AF4124-4","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","39.6","50.8","97.5","83.3","13.6","284.8","231.6","0.15","0.85","0.67","0.31","0.05","0.81","","","","4","","7","","","284.78","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AF4040-2","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","15.3","34.3","113.1","49.7","10.2","222.5","197.1","0.07","0.93","0.77","0.23","0.05","0.89","","","","4","","4","","","222.51","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05024-11rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","18.3","43.4","101.6","144.8","0.4","308.6","289.9","0.06","0.94","0.8","0.47","0","0.94","","","","4","","7","","","308.55","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A05052-3TE","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","27.6","47.6","91.5","52.5","4","223.1","191.5","0.13","0.87","0.66","0.24","0.02","0.86","","","","4","","8","","","223.06","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A0012-5","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","17.1","38.1","84","155.9","4.5","299.7","278.1","0.06","0.94","0.81","0.53","0.02","0.93","","","","4","","2","","","299.66","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A0073-2","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","25.1","42.8","105.5","51","8.4","232.7","199.3","0.11","0.89","0.7","0.23","0.04","0.86","","","","4","","5","","","232.68","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A01325-1","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","15.4","26","97.7","152.5","7.4","298.9","276.1","0.05","0.95","0.86","0.52","0.02","0.92","","","","4","","5","","","298.93","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A02138-2","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","37.8","64.6","94","51.4","3.1","250.8","210","0.15","0.85","0.59","0.21","0.01","0.84","","","","4","","7","","","250.83","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Payette Russet","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","26.3","70.8","181.5","67.5","3.3","349.4","319.8","0.08","0.92","0.72","0.2","0.01","0.92","","","","3","","7","","","349.4","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Mountain Gem","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","20","53.2","146.3","147.6","2.9","369.9","347","0.05","0.95","0.8","0.4","0.01","0.94","","","","4","","9","","","369.9","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A03921-2","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","9.6","15.3","64.4","181.5","25.4","296.2","261.2","0.04","0.96","0.91","0.67","0.09","0.88","","","","5","","3","","","296.21","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A06003-3TE","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","15.3","33","78.8","84","9.1","220.2","195.8","0.07","0.93","0.77","0.4","0.04","0.89","","","","4","","4","","","220.16","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Caribou Russet","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","32.3","75.9","120.7","72.1","3.6","304.6","268.6","0.11","0.89","0.64","0.24","0.01","0.88","","","","3","","8","","","304.57","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A06084-1TE","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","33.2","63.7","93.7","74.1","3.1","267.7","231.4","0.13","0.87","0.63","0.28","0.01","0.86","","","","4","","9","","","267.71","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A07001-7TE","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","47.4","62.4","83.3","38.1","0.9","232.2","183.9","0.2","0.8","0.53","0.16","0","0.79","","","","4","","9","","","232.15","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A97066-42LB","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","17.4","31.8","105.5","181.5","14","350.1","318.7","0.05","0.95","0.85","0.54","0.04","0.91","","","","4","","8","","","350.11","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Premier Russet","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","33","61.4","161.2","110.2","1.1","366.8","332.7","0.09","0.91","0.74","0.3","0","0.91","","","","4","","9","","","366.81","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","32.3","53.5","93.3","73.7","3.6","256.5","220.5","0.13","0.87","0.66","0.29","0.01","0.86","","","","4","","9","","","256.46","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AO82611-7 ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","31.2","53","104.4","130.7","3.8","323.1","288","0.1","0.9","0.74","0.41","0.01","0.89","","","","4","","9","","","323.07","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Easton","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","10","26.9","99.3","181.5","6","323.6","307.6","0.03","0.97","0.88","0.57","0.02","0.95","","","","4","","8","","","323.61","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO03276-5RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","34.7","37.4","86","83.5","7.6","249.2","206.9","0.14","0.86","0.7","0.35","0.03","0.83","","","","4","","7","","","249.2","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05040-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","104.2","84","58.4","21.8","9.8","278.2","164.3","0.39","0.61","0.3","0.08","0.04","0.59","","","","4","","2","","","278.23","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Russet Burbank","","","","1","1","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","37.2","68.8","130","89.1","12","337.1","287.9","0.11","0.89","0.67","0.27","0.04","0.85","","","","4","","7","","","337.05","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W8152-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","30.3","71","100.2","55.4","0","256.8","226.5","0.12","0.88","0.61","0.22","0","0.88","","","","3","","7","","","256.83","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN10013PLWR-03LR","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","26","41.9","104.5","124.3","9.1","305.8","270.8","0.09","0.91","0.77","0.42","0.03","0.89","","","","4","","2","","","305.83","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN09152BW-1Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","24.7","49.2","136.3","160.5","5.6","376.3","346","0.07","0.93","0.8","0.43","0.01","0.92","","","","4","","4","","","376.26","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AW06874-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","47","63.3","103.5","63.5","6.5","283.9","230.3","0.17","0.83","0.6","0.23","0.02","0.81","","","","4","","2","","","283.87","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AW071022-4rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","39.6","52.5","132","181.5","74.4","479.9","365.9","0.1","0.9","0.77","0.45","0.16","0.76","","","","4","","2","","","479.89","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AW07966-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","52.5","107.6","138.9","69.2","2.7","370.8","315.6","0.14","0.86","0.57","0.19","0.01","0.85","","","","3","","2","","","370.8","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","QSNDSU10-09rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","42.7","55","69.5","26.7","4.5","198.4","151.2","0.22","0.78","0.5","0.14","0.02","0.76","","","","3","","4","","","198.37","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W6234-4rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","31.9","67.2","153.4","114.9","0.9","368.3","335.4","0.09","0.91","0.73","0.31","0","0.91","","","","4","","8","","","368.27","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W8743-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","44.1","50.6","52.5","15.1","5.5","167.7","118.2","0.27","0.73","0.42","0.09","0.03","0.7","","","","3","","2","","","167.7","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN10001PLWR-3Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","18.9","43.4","105.1","143.9","5.5","316.7","292.4","0.06","0.94","0.8","0.46","0.02","0.92","","","","4","","7","","","316.73","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Plover Russet","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","19.8","35.6","106.2","140.8","1.3","303.6","282.6","0.07","0.93","0.82","0.47","0","0.93","","","","4","","9","","","303.64","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","Lakeview Russet","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","21.2","35.4","139","159.5","0.9","356.1","334","0.06","0.94","0.84","0.45","0","0.94","","","","4","","9","","","356.11","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W9483-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","50.8","69.9","109.6","25.6","5.5","261.4","205.1","0.2","0.8","0.53","0.1","0.02","0.78","","","","4","","4","","","261.37","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W9519-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","33.9","65.2","131.4","85.3","3.5","319.3","281.9","0.11","0.89","0.69","0.27","0.01","0.88","","","","4","","4","","","319.27","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W9741-2rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","56.3","61.2","90.9","37","4.5","249.9","189.1","0.23","0.77","0.52","0.15","0.02","0.76","","","","4","","4","","","249.94","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W9742-3rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","12.2","29.6","112.5","161","19.1","334.3","303.1","0.04","0.96","0.87","0.51","0.06","0.91","","","","4","","4","","","334.32","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","W9752-1rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","12.7","28","67.3","104.9","6","218.9","200.2","0.06","0.94","0.81","0.49","0.03","0.91","","","","4","","7","","","218.9","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN10013PLWR-02LW","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","89.1","39.9","28.7","4","10.9","172.6","72.6","0.55","0.45","0.2","0.02","0.06","0.42","","","","4","","2","","","172.61","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN09135BW-1Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","70.6","43.6","28.9","4.5","2.9","150.5","77","0.48","0.52","0.23","0.03","0.02","0.51","","","","3","","2","","","150.46","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05068-1RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","13.6","33","110.9","167.7","10.9","336.1","311.6","0.04","0.96","0.86","0.52","0.03","0.93","","","","4","","7","","","336.14","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","ND8229-3","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","17.8","56.6","102.6","90.6","0.9","268.5","249.8","0.07","0.93","0.72","0.34","0","0.93","","","","4","","7","","","268.45","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05110-6RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","48.5","77.9","87.3","12","2.7","228.3","177.1","0.21","0.79","0.44","0.05","0.01","0.78","","","","4","","7","","","228.32","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05132-2RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","45","90.6","181.5","181.5","2.7","501.3","453.6","0.09","0.91","0.73","0.36","0.01","0.9","","","","4","","4","","","501.3","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05149-3RUS","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","55","39.2","35.2","15.8","2.7","147.9","90.2","0.38","0.62","0.35","0.11","0.02","0.61","","","","4","","2","","","147.91","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","CO05175-1RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","23.1","40.3","102.6","181.5","7.4","354.8","324.3","0.07","0.93","0.82","0.52","0.02","0.91","","","","4","","9","","","354.83","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AC00395-2RU","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","22.7","48.1","123.4","127.8","3.6","325.6","299.3","0.07","0.93","0.78","0.4","0.01","0.92","","","","4","","9","","","325.62","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","41.9","68.6","96","59","12.7","278.3","223.6","0.16","0.84","0.58","0.22","0.05","0.8","","","","4","","7","","","278.25","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AND97279-5Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","69.9","57.4","70.4","34.1","2","233.8","161.9","0.3","0.7","0.45","0.15","0.01","0.69","","","","4","","2","","","233.77","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","AOND95249-1Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","36.5","63.9","167.5","122.9","1.3","392","354.3","0.09","0.91","0.74","0.31","0","0.9","","","","4","","8","","","392.04","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN09079BB-1Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","112.5","93.8","54.3","11.1","8.7","280.4","159.2","0.41","0.59","0.24","0.04","0.03","0.57","","","","3","","2","","","280.42","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","ND049546b-10Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","35.6","70.8","86.6","43.7","2.7","239.4","201.1","0.15","0.85","0.55","0.18","0.01","0.84","","","","4","","2","","","239.4","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","ND060735-4Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","27.2","51.9","77.3","51.2","1.3","208.9","180.4","0.13","0.87","0.62","0.25","0.01","0.86","","","","4","","9","","","208.91","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","WND8624-2Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","39.4","55.4","93.7","21.8","1.3","211.5","170.8","0.19","0.81","0.55","0.1","0.01","0.81","","","","4","","4","","","211.45","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","WND8625-2Russ","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","17.4","40.5","95.8","97.3","0","251","233.6","0.07","0.93","0.77","0.39","0","0.93","","","","4","","9","","","251","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN07257BB-1Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","92","84","39","9.6","1.8","226.5","132.7","0.41","0.59","0.22","0.04","0.01","0.59","","","","4","","2","","","226.51","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN08155BW-1Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","58.6","45.7","44.7","18","2.7","169.7","108.4","0.35","0.65","0.38","0.11","0.02","0.64","","","","4","","4","","","169.7","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","MN09034BW-01Rus","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","87.7","63","37.2","8.9","0","196.7","109.1","0.45","0.55","0.23","0.05","0","0.55","","","","3","","2","","","196.74","","","","","","","","","","","","","","",""
"2013","NFPT","WI","2013 NFPT WI","A06021-1","","","","1","","","","","","","","","","","","2013-09-30 00:00:00","","","","","","","18.5","40.8","95.8","110.7","0.9","266.8","247.4","0.07","0.93","0.78","0.42","0","0.93","","","","4","","9","","","266.81","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","Castle Russet","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.099","61.8","93.2","254.3","110.6","8.7","528.7","458.2","0.12","0.88","0.7","0.21","0.02","0.87","","","","5","1","8","no primary problem","; hvy russeting; good type; some stolons; high SG","528.7","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","Ranger Russet","","","","2","1","","","","2","4","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","4","","1.092","57.5","96.7","189","158.5","43.6","545.3","444.2","0.11","0.89","0.69","0.32","0.08","0.81","","","","5","1","3","too long & rough w/size","; v. long; deeper-eyed esp. w/ size; twists","545.25","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A08014-9TE","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","1","","1.082","38.3","87.1","237.8","149.8","9.6","522.6","474.7","0.07","0.93","0.76","0.29","0.02","0.91","","","","5","1","6","no primary problem","; blocky, med. Russ; ","522.59","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A03921-2","","","","1","","","","","1","1","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","8","","1.086","51.4","121.9","303.1","104.5","3.5","584.4","529.6","0.09","0.91","0.7","0.18","0.01","0.91","","","","5","1","8","no primary problem","; med. Russ; good type and middle;","584.44","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A03921-2","","","","2","","","","","2","1","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.09","70.6","124.6","208.2","111.5","0","514.8","444.2","0.14","0.86","0.62","0.22","0","0.86","","","","5","1","8","no primary problem","; typey, attractive russeting; good yield","514.76","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06014-14TE","","","","1","","","","","1","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.092","48.8","58.4","123.7","64.5","4.4","299.6","246.5","0.17","0.83","0.64","0.22","0.01","0.82","","","","5","1","6","a few with shatter","; heavy russet; some shatter; long; lower yielding","299.63","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06014-14TE","","","","2","","","","","2","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","1","","1.085","52.3","72.3","137.6","54.9","17.4","334.5","264.8","0.16","0.84","0.61","0.17","0.05","0.79","","","","5","1","6","some curves/twists","; med. Russet; some twists; lower yield","334.46","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06021-1","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","2","","1.093","88","130.7","196","42.7","0","457.3","369.3","0.19","0.81","0.52","0.09","0","0.81","","","","5","1","8","no primary problem","; typey; nice appearance","457.28","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06021-1","","","","2","","","","","2","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","2","","1.083","71.4","157.7","216","35.7","0","480.8","409.4","0.15","0.85","0.52","0.07","0","0.85","","","","4","1","6","no primary problem","; type russet; attractive russeting; smaller","480.79","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06084-1TE","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","2","","1.082","134.1","118.5","117.6","17.4","4.4","392","253.5","0.35","0.65","0.35","0.04","0.01","0.65","","","","5","1","7","no primary problem","; med. Russet; larger size would be good","391.96","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06084-1TE","","","","2","","","","","2","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.076","145.5","160.3","59.2","28.7","0","393.7","248.2","0.37","0.63","0.22","0.07","0","0.63","","","","5","1","6","smaller tuber size","; typey, but smaller; low SG","393.69","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06914-3CRus","","","","1","","","","","1","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.089","47.9","88.8","258.7","131.5","13.9","540.9","479.1","0.09","0.91","0.74","0.25","0.03","0.89","","","","4","1","5","points/pear shapes","; buff/l. russet; good yield, some points/pears","540.9","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A06914-3CRus","","","","2","","","","","2","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.089","46.2","81","213.4","136.8","9.6","486.9","431.2","0.1","0.9","0.73","0.29","0.02","0.89","","","","5","1","5","deeper-eyed","; l. russ; larger; deeper-eyed w/size","486.89","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A07008-4TRus","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.091","50.5","128","225.6","59.2","0","463.4","412.9","0.11","0.89","0.61","0.13","0","0.89","","","","5","1","6","no primary problem","; good size and yield; med. Russet; some points","463.38","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A07008-4TRus","","","","2","","","","","2","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","2","","1.097","70.6","116.7","175.9","55.7","0","418.9","348.4","0.17","0.83","0.55","0.13","0","0.83","","","","5","1","6","no primary problem","; med. Russet; good yield; high SG","418.94","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A08014-11TE","","","","1","","","","","1","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.087","91.5","137.6","142","39.2","0","410.3","318.8","0.22","0.78","0.44","0.1","0","0.78","","","","5","1","7","smaller tuber size","; medium russet; longer, smaller; typey","410.25","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A08014-11TE","","","","2","","","","","2","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","3","","1.083","62.7","109.8","217.8","117.6","19.2","527","445.1","0.12","0.88","0.66","0.23","0.04","0.84","","","","5","1","6","no primary problem","; med. Russset; longer","526.96","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","A08014-9TE","","","","2","","","","","2","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","1","","1.085","36.6","74","192.5","88","0","391.1","354.5","0.09","0.91","0.72","0.22","0","0.91","","","","4","1","6","no primary problem","; med russ; blocky; smaller","391.08","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","Mountain Gem","","","","1","","","","","1","1","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.085","55.7","88","244.8","260.4","16.6","665.4","593.2","0.09","0.91","0.78","0.4","0.02","0.89","","","","5","1","8","no primary problem","; good size and yield; ","665.44","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","AW07519-1Rus","","","","2","","","","","2","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.093","128","190.8","200.3","71.4","0","590.5","462.5","0.22","0.78","0.46","0.12","0","0.78","","","","4","1","5","smaller tuber size","; smaller med. Russet; ","590.54","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","AW07978-2Rus","","","","2","","","","","2","4","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","5","","1.102","40.1","100.2","235.2","32.2","18.3","425.9","367.6","0.1","0.9","0.66","0.08","0.04","0.86","","","","5","1","4","too thin","; hvy russ and long; too skinny; high SG","425.93","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","AW07978-2Rus","","","","1","","","","","1","3","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","4","","1.094","61.8","69.7","193.4","95.8","25.3","446","358.9","0.15","0.85","0.69","0.23","0.06","0.8","","","","5","1","5","points","; hvy russ; some pit scab; points","445.95","","","","","","","","","","","","","","",""
"2014","NFPT","ID","2014 NFPT ID","AW07791-2rus","","","","2","","","","","2","2","2014-04-30 00:00:00","20","","2014-02-09 00:00:00","2013-09-16 00:00:00","","","","","4","","1.093","86.2","135","186.4","31.4","0","439","352.8","0.2","0.8","0.5","0.07","0","0.8","","","","5","1","7","no primary problem","; hvy russet; typey; ","438.99","","","","","","","","","","","","","","",""
