marker,chrom,position,A03921.2,A06084.1TE,A06862.18VR,AF4950.2,AF4953.6,AF5091.2,AF5179.4,AO06070.1KF,AOR07781.5,AOR08032.1,AW07773.1rus,AW07781.1rus,CO07049.1RU,W10039.2rus,W10074.16rus,W10074.3rus,W10074.8rus,W10594.16rus,A07098.4,A071012.4BF,A07705.4,A07769.4,A08422.2VRsto,A09086.1LB,A09119.4LB,A10007.3,A10063.1,A10071.1,A10508.2LB,A10594.8VR,A10595.13sto,A10611.3adg,A10688.1adgsto,A10947.3CSR,A11188.1,A11194.1,A11226.1,A11234.2,A11252.10,A11326.1,A11737.1LB,A12114.7,A12115.16sto,A12314.1sto,AAF07521.1,AAF10237.4,AAF10245.1,AAF10615.1,AAF10943.4,AF5071.2,AF5406.10,AF5406.7,AF5407.13,AF5469.2,AF5492.6,AF5494.3,AF5521.1,AF5628.2,AF5644.8,AF5661.13,AF5731.11,AF5750.16,AF5750.17,AF5762.4,AF5789.1,AO02183.2,AOR06576.1,AOR08540.1,AOR10633.1,AOR12149.1,AOR13064.2,AW06108.1rus,AW07791.2rus,W13A11229.1rus,CO09036.2RU,CO09205.2RU,CO10094.5RU,CO11009.3RU,COA11013.2,COAF11149.5,COTX09052.2Ru,ND050032.4Russ,ND060735.4Russ,ND060761B.3Russ,ND070927.2Russ,ND091933ABCR.7Russ,ND09193BR.2Russ,ND092007R.2Russ,ND113100.1Russ,ND113224C.3Russ,ND12154AB.2Russ,ND12157.3Russ,ND12163AB.2Russ,ND12205B.4Russ,ND12241YB.2Russ,ND13242B.8Russ,ND13243B.14Russ,ND13243B.3Russ,ND13288.2Russ,NDAF092412.3Rus,NDAF113476CB.3,W13012.18rus,W9850.5rus,A08292.1LB,A09022.4,A09136.9LB,A10020.3sto,A10635.2VR,A12076.4sto,A12304.1sto,A12304.4sto,A12305.2adg,A12308.4VR,A12327.5VR,A13036.1,AAF10596.1,AF5711.2,AF5735.8,AF5736.16,AF5741.6,AF5770.7,AFA5661.8,AOR10093.11,AOR10129.1,AOR10654.11,AOR11027.4,CO12152.1RU,CO12246.1RU,CO12378.1RU,COAF11018.10,W9742.3rus,A13038.3,AF5707.1,ND14110B.1Russ,ND1412Y.5Russ
PotVar0042369,chr01,76374753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PotVar0042373,chr01,76374814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PotVar0042403,chr01,76375345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,3,4,4,1,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4
PotVar0042444,chr01,76378448,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,3,4,2,4,3,2,3,3,2,3,2,3,3,4,3,3,2,3,3,3,2,2,1,3,3,3,3,3,2,4,4,4,3,4,3,4,4,3,3,4,4,3,3,2,1,3,2,3,3,2,3,4,2,3,3,2,2,2,2,3,2,3,4,4,4,1,4,4,2,4,4,3,4,4,4,4,4,3,2,2,1,2,1,3,4,2,4,2,3,3,4,2,3,3,4,3,1
PotVar0042445,chr01,76378502,1,1,3,1,1,1,2,2,1,3,1,1,2,1,3,1,2,2,2,1,0,1,1,2,1,2,1,0,0,1,2,0,1,2,2,1,1,2,1,1,0,2,2,1,0,2,2,0,1,3,1,1,1,0,2,2,0,0,1,2,0,0,0,2,1,0,1,2,3,1,1,1,1,2,1,0,1,1,0,0,1,1,0,2,2,1,1,0,1,4,0,2,2,0,1,2,2,3,1,1,2,0,2,2,3,1,1,3,1,1,3,2,2,2,1,1,1,1,1,0,0,1,1,1,0,2,2,0,1,0,2,1,1,2,1
solcap_snp_c2_16425,chr01,76379703,2,0,4,4,3,2,4,2,2,3,4,3,3,3,3,1,2,1,3,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,2,2,3,3
solcap_snp_c2_16426,chr01,76379760,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,2,1,2,1,0,1,0,1,1,1,1,1,1,0,0,1,2
solcap_snp_c2_16431,chr01,76403549,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solcap_snp_c2_16435,chr01,76415277,4,4,4,2,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,4,4,4,3,4,3,3,4,4,3,4,3,4,3,4,4,3,4,2,4,3,2,3,4,3,3,2,3,3,4,3,3,3,3,3,3,2,2,2,3,3,3,4,3,2,4,4,4,3,4,2,4,4,4,4,4,4,3,3,2,1,3,2,3,3,2,3,4,2,3,3,2,2,2,2,3,2,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,3,3,1,2,2,3,4,2,4,3,3,3,4,3,3,3,4,3,1
solcap_snp_c2_16441,chr01,76432003,0,0,1,2,0,0,2,0,1,0,2,2,1,0,0,0,0,0,1,1,2,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,2,0,2,0,2,2,2,1,1,1,2,1,1,0,1,1,1,1,1,2,2,2,3,1,1,1,1,1,3,0,0,0,1,0,2,0,0,0,0,0,2,1,1,2,3,1,2,1,1,2,1,0,2,1,1,3,2,2,2,1,2,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,0,2,0,1,1,1,0,1,1,1,0,1,3
solcap_snp_c1_5299,chr01,76440986,1,3,0,0,1,2,0,1,1,1,0,1,1,1,1,2,1,2,1,2,1,1,3,1,3,1,2,3,3,2,1,3,1,1,2,1,3,1,1,2,2,2,0,1,0,1,1,2,1,0,1,3,2,0,0,0,3,2,1,0,1,3,3,1,2,3,0,2,1,2,2,3,0,2,2,3,0,3,0,3,2,1,1,1,0,1,2,2,2,0,2,2,1,1,1,0,0,0,1,0,1,2,1,0,1,3,1,1,2,2,1,2,2,2,3,2,1,1,0,0,1,2,3,1,3,1,1,3,3,3,1,2,3,1,0
solcap_snp_c2_16444,chr01,76441396,2,0,4,4,3,2,4,2,2,3,4,3,3,3,3,1,2,1,3,2,3,3,1,3,1,3,2,1,1,2,3,1,3,3,2,3,2,3,3,2,2,2,4,3,4,3,3,2,3,4,3,1,2,4,4,4,1,3,3,4,3,2,2,3,2,1,4,2,3,2,2,1,4,2,2,1,4,1,4,1,2,3,3,3,4,3,2,4,2,4,2,2,3,3,4,4,4,4,3,4,3,2,3,4,3,1,3,3,2,2,3,2,2,2,1,2,3,3,4,4,3,2,1,3,1,3,3,2,1,1,3,2,1,3,4
solcap_snp_c2_16466,chr01,76630429,3,4,0,1,3,3,0,2,2,1,1,1,1,2,1,3,2,3,1,2,1,2,3,1,3,1,3,3,3,2,1,3,2,1,2,1,3,1,1,3,2,2,0,1,2,1,1,3,1,0,2,3,2,3,0,1,3,2,1,0,1,2,2,1,2,3,0,2,1,3,2,3,0,2,3,3,2,3,2,3,2,1,1,1,0,2,2,0,2,0,2,2,1,1,0,0,0,0,1,0,2,2,2,0,1,3,2,1,3,2,1,2,2,2,3,2,1,1,0,2,1,2,3,1,4,1,1,3,3,3,1,2,3,1,0
solcap_snp_c2_16468,chr01,76635149,3,4,2,2,4,4,2,4,3,4,2,2,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
solcap_snp_c2_16470,chr01,76647451,2,3,0,1,2,2,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,3,1,3,1,3,3,3,2,1,3,2,1,2,2,3,1,1,3,2,2,0,1,2,1,1,3,1,0,2,3,2,3,0,1,3,2,1,0,1,3,3,1,2,3,0,1,1,3,2,3,0,2,3,3,2,3,2,3,2,1,1,1,0,2,2,1,2,0,2,2,1,1,1,0,0,0,1,0,2,2,2,0,1,3,2,1,3,2,1,2,2,2,3,2,1,1,0,2,1,2,3,1,4,1,1,3,3,3,1,2,3,1,0
solcap_snp_c2_16478,chr01,76659398,3,4,0,0,1,3,0,2,2,1,0,1,1,1,1,3,2,3,1,2,1,1,3,1,3,1,3,3,3,2,1,3,1,1,2,1,3,1,1,2,2,2,0,1,0,1,1,2,1,0,1,3,2,0,0,0,3,1,1,0,1,3,3,1,2,3,0,2,1,2,2,3,0,2,2,3,0,3,0,3,2,1,1,1,0,2,2,2,2,0,2,2,1,2,1,0,0,0,1,0,1,2,2,0,1,3,2,1,3,2,1,2,2,2,3,2,1,1,0,0,1,2,3,1,3,1,1,2,3,3,1,2,3,1,0
solcap_snp_c2_16479,chr01,76661059,1,1,3,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,0,2,1,2,0,0,0,2,3,0,1,2,0,1,1,3,1,0,0,2,2,1,0,2,1,0,0,3,1,1,1,0,2,3,0,0,1,2,0,0,0,2,1,0,2,2,1,1,1,1,1,2,1,1,4,1,0,0,1,1,0,2,2,1,1,0,1,3,0,1,2,0,1,2,2,3,1,2,3,1,2,2,3,0,0,2,0,2,2,0,2,2,0,0,2,2,1,0,1,1,1,1,0,2,2,0,1,0,2,0,1,2,1
solcap_snp_c1_5346,chr01,76670716,3,4,3,3,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,3,4,4,3,3,3,3,4,4,3,4,4,2,2,4,4,3,3,2,4,3,2,4,4,2,3,1,3,3,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,2,4,2,4,3,4,3,4,4,4,4,4,4,3,3,2,1,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,2,3,4,4,4,2,4,3,2,3,3,4,3,2,4,4,3,2,3,3,2,3,2,3,4,2,4,3,3,3,4,3,3,3,4,3,2
PotVar0042497,chr01,76721801,3,3,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,4,2,3,3,4,4,4,2,1,4,2,1,4,3,3,2,2,4,4,2,2,3,3,1,3,4,4,1,3,3,3,4,2,2,4,3,3,2,4,4,4,3,3,4,2,2,3,3,3,3,2,2,3,3,2,3,3,4,3,3,4,2,2,3,3,4,3,1,4,3,2,4,3,2,2,2,3,2,2,2,2,2,1,4,4,2,4,2,2,4,2,2,4,4,2,2,3,4,3,3,3,3,4,2,2,4,3,4,2,3,3,2,3
PotVar0042582,chr01,76722869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,3,4,4,1,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4
PotVar0042631,chr01,76723600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
PotVar0042709,chr01,76725613,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
PotVar0042710,chr01,76725679,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,1,3,1,3,2,1,1,2,3,1,2,3,2,3,1,3,3,1,2,2,4,3,2,3,3,1,3,4,2,1,2,1,4,3,1,2,3,4,3,1,1,3,2,1,4,2,3,1,2,1,4,2,1,1,2,2,2,1,2,3,3,3,4,3,2,2,2,4,2,2,3,3,3,4,4,4,3,4,2,2,3,4,3,1,3,3,2,2,3,2,2,2,1,2,3,3,4,2,3,2,1,3,0,3,3,1,1,1,3,2,1,3,4
PotVar0042723,chr01,76727564,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,3,2,2,2,3,3,3,4,2,3,2,4,4,4,2,1,4,3,2,4,3,3,1,3,4,4,2,2,3,4,2,2,4,4,1,3,3,3,4,2,2,4,4,3,2,4,4,4,2,3,4,2,2,3,3,3,3,3,2,3,3,2,3,4,4,3,3,4,2,2,3,3,4,3,1,4,3,2,4,3,2,2,1,3,2,2,3,2,2,1,4,4,2,4,2,2,4,2,2,4,4,2,2,3,4,3,3,3,3,4,2,2,4,3,4,2,4,3,2,3
PotVar0042755,chr01,76728512,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,4,3,3,3,3,4,4,3,4,4,2,3,4,4,3,3,2,4,3,2,4,4,3,3,1,3,3,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,2,4,2,4,3,4,3,4,4,4,4,4,4,3,3,2,1,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,2,3,4,4,4,2,4,3,1,3,3,4,3,2,4,4,3,2,3,3,2,3,2,3,4,2,4,3,3,3,4,3,3,3,4,3,2
PotVar0042756,chr01,76728609,1,2,0,0,1,2,0,1,1,1,0,1,1,1,1,2,1,2,1,2,1,1,3,1,3,1,2,3,3,2,1,3,1,1,2,1,3,1,1,2,2,2,0,1,0,1,1,2,1,0,1,3,2,0,0,0,3,1,1,0,1,3,3,1,2,3,0,1,1,2,2,3,0,2,2,3,0,3,0,3,2,1,1,1,0,1,2,2,2,0,2,2,1,1,1,0,0,0,1,0,1,2,1,0,1,3,1,1,2,2,1,2,2,2,3,2,1,1,0,0,1,2,3,1,3,1,1,2,3,3,1,2,3,1,0
solcap_snp_c1_5355,chr01,76735051,1,0,4,3,1,1,4,2,2,3,3,3,3,2,3,1,2,1,3,2,3,2,1,3,1,3,1,1,1,2,3,1,2,3,2,3,1,3,3,1,2,2,4,3,2,3,3,1,3,4,2,1,2,1,4,3,1,2,3,4,3,1,1,3,2,1,4,2,3,1,2,1,4,2,1,1,2,1,2,1,2,3,3,3,4,2,2,2,2,4,2,2,3,3,3,4,4,4,3,4,2,2,2,4,3,1,2,3,1,2,3,2,2,2,1,2,3,3,4,2,3,2,1,3,0,3,3,1,1,1,3,2,1,3,4
solcap_snp_c2_16496,chr01,76742681,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solcap_snp_c2_16530,chr01,76808812,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,1,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,2,4,3,4,3,3,2,3,4,3,1,2,4,4,4,2,3,3,4,3,2,2,3,2,2,4,3,3,2,2,2,4,2,2,1,4,2,4,2,2,3,3,3,4,3,2,4,2,4,2,2,3,3,4,4,4,4,3,4,3,2,3,4,3,1,3,3,2,2,3,2,2,2,1,2,3,3,4,4,3,2,1,3,1,3,3,3,2,1,3,2,2,3,4
solcap_snp_c2_52789,chr01,77013733,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,1,3,2,1,1,2,3,1,3,3,2,3,2,3,3,2,2,2,4,3,3,3,3,2,3,4,3,1,2,4,4,4,1,3,3,4,3,2,2,3,2,2,4,3,3,2,2,1,4,2,2,1,4,1,4,1,2,3,3,3,4,3,2,4,2,4,2,2,3,3,4,4,4,4,3,4,3,2,3,4,3,1,3,3,2,2,3,2,2,2,1,2,3,3,4,4,3,2,1,3,2,3,3,3,1,1,3,2,1,3,4
solcap_snp_c2_52792,chr01,77038297,0,0,1,1,1,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
PotVar0110417,chr01,77123399,1,0,3,2,2,1,2,3,1,3,1,2,2,2,3,1,2,1,3,1,3,1,0,2,1,3,0,0,0,2,3,0,1,2,1,3,1,3,2,0,0,2,2,2,0,2,3,0,2,4,2,1,2,0,2,3,0,0,2,4,1,1,1,2,1,0,4,2,1,1,2,1,2,2,1,1,2,1,0,1,1,3,1,2,3,2,1,0,2,3,1,2,3,2,1,3,3,4,1,2,2,1,2,4,3,0,0,2,0,2,2,0,2,2,1,1,2,3,2,1,2,2,1,1,0,2,3,1,1,1,2,1,1,3,1
PotVar0110391,chr01,77123851,1,0,2,1,0,1,1,0,1,1,2,2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,2,2,0,0,2,1,0,1,1,0,0,1,1,2,0,2,1,2,1,0,1,1,0,0,0,0,1,2,0,2,2,1,0,2,0,0,1,1,1,0,1,2,0,0,0,2,0,0,0,0,0,2,0,1,0,2,1,1,0,1,2,0,1,1,0,0,0,2,1,1,0,2,2,0,1,0,0,0,1,2,1,1,0,1,2,0,0,0,1,1,0,2,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,3
PotVar0110374,chr01,77124088,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,1,3,2,2,2,2,3,2,3,3,2,3,1,3,3,2,2,2,4,3,3,3,3,2,3,4,3,1,2,4,4,4,2,3,3,4,3,2,2,3,3,1,4,3,3,2,2,1,4,2,2,1,4,2,4,1,2,3,3,3,4,3,2,4,2,4,2,2,3,3,4,4,4,4,3,4,3,2,3,4,3,1,3,3,2,2,3,2,2,2,1,2,4,3,4,4,3,2,1,3,1,3,3,3,2,1,3,2,1,3,4
solcap_snp_c2_56860,chr01,77136021,4,4,4,2,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,3,4,4,0,4,3,4,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,3,4,3,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,1,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3
solcap_snp_c2_56862,chr01,77136311,1,0,4,3,1,1,4,2,2,3,3,3,3,2,3,1,2,1,3,2,3,2,1,3,1,3,1,1,1,2,3,1,2,3,2,3,1,3,3,1,2,2,4,3,2,3,3,1,3,4,2,1,2,1,4,3,1,2,3,4,3,1,1,3,2,1,4,3,3,1,2,1,4,2,1,1,2,1,3,1,2,3,3,3,4,2,2,2,2,4,2,2,3,2,3,4,4,4,3,4,2,2,2,4,3,1,2,3,1,2,3,2,2,2,1,2,3,3,4,2,3,2,1,3,0,3,3,1,1,1,3,2,1,3,4
solcap_snp_c1_16432,chr01,77137879,2,3,0,1,2,2,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,3,1,3,1,3,3,3,2,1,3,2,1,2,1,3,1,1,3,2,2,0,1,2,1,1,3,1,0,2,3,2,3,0,1,3,2,1,0,1,3,3,1,2,3,0,1,1,3,2,3,0,2,3,3,2,3,2,3,2,1,1,1,0,2,2,2,2,0,2,2,1,1,1,0,0,0,1,0,2,2,2,0,1,3,2,1,3,2,1,2,2,2,3,2,1,1,0,2,1,2,3,1,4,1,1,3,3,3,1,2,3,1,0
solcap_snp_c1_16435,chr01,77138463,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,4,3,4,2,3,3,4,3,4,4,4,4,4,3,2,4,3,3,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,2,3,4,3,3,4,4,3,4,4,4,3,2,4,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4
solcap_snp_c2_2431,chr01,77207778,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,4,3,4,2,3,3,4,3,4,4,4,4,4,3,2,4,3,3,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,2,3,4,3,3,4,4,3,4,4,4,3,2,4,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4
solcap_snp_c2_2509,chr01,77241044,1,0,2,1,1,0,2,0,2,0,2,2,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,2,1,0,0,1,1,1,2,0,2,1,2,1,0,1,1,2,0,0,0,1,3,0,1,2,1,0,2,1,1,1,1,1,1,1,2,0,0,0,3,0,0,0,0,0,1,0,1,0,2,2,1,0,1,4,0,1,1,0,0,0,3,1,2,1,2,2,0,1,0,1,0,1,2,1,1,0,1,1,0,0,0,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,3
solcap_snp_c1_568,chr01,77293248,3,4,2,3,4,4,2,4,3,4,2,2,3,4,4,4,4,4,3,3,2,3,3,3,4,3,3,3,3,4,4,3,3,4,2,2,4,4,2,3,2,4,1,2,3,3,3,3,1,3,3,4,3,4,2,4,3,2,3,2,3,3,3,3,3,3,2,3,2,4,3,4,2,4,4,4,4,4,2,3,3,2,1,3,2,3,3,2,3,3,3,4,3,2,3,3,2,3,2,2,4,3,4,2,3,3,2,3,3,4,3,2,4,4,3,2,3,3,2,3,2,3,4,2,4,3,3,3,4,3,3,2,4,3,2
solcap_snp_c1_573,chr01,77299249,3,3,1,2,3,2,1,1,3,1,3,3,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,3,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,1,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,3,1,3,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,1,3,2,3,2,2,2,2,3
PotVar0110364,chr01,77309811,3,2,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,1,1,3,3,1,3,3,2,3,2,3,3,2,3,2,4,3,3,3,3,2,3,4,3,1,3,4,4,4,2,3,3,4,3,2,2,3,2,1,4,3,4,2,2,1,4,2,2,1,4,2,4,1,2,3,3,3,4,3,2,4,2,4,2,2,3,3,4,4,4,4,3,4,3,2,3,4,3,1,3,3,2,2,3,3,3,2,1,2,4,3,4,4,2,2,2,3,1,3,3,2,1,1,3,2,1,3,4
PotVar0110337,chr01,77311059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
